FirstByte	LastByte	Type	Compressed	Description	Modified
0F5600			No		6/24/2002
0F5B00	0F63FF	DATA	No	"Monster Formation Auxiliary Data (576 elements, 4 bytes each)"	7/16/2002
0F6400	0F85BF	DATA	No	"Monster Formation Data (576 elements, 15 bytes each)"	7/16/2002
0F85C0	0F85FF	---	No	UNUSED SPACE (64 bytes)	6/24/2002
0F8600	0F88FF	PTR	No	Pointers to Monster AI (+0F8900)	7/16/2002
0F8900	0FC24F	AI	No	Enemy AI	6/24/2002
0FC250	0FD14F	TXT	No	"Enemy Names (384 items, 10 bytes each)"	7/16/2002
0FD150	0FD2CF	---	No	UNUSED SPACE (384 bytes)	6/24/2002
0FD2D0	0FE1CF	TXT	No	"Enemy Attack Names (384 items, 10 bytes each)"	7/16/2002
0FE1D0	0FE1DF	---	No	UNUSED SPACE (16 bytes)	6/24/2002
0FE1E0	0FE3DF	PTR	No	Pointers to Battle Dialogue (Bank 2) (+0F0200)	7/16/2002
0FE3E0	0FF64F	TXT	No	"Battle Dialogue (Bank 2) (256 items, variable length)"	7/16/2002
0FF650			No		6/24/2002
0FFAAF	0FFAC6	TXT	No	"Ending: ""andyou"", 4 bytes per character (x, y, tile idx, const?)"	8/28/2002
0FFAC7			No		8/28/2002
0FFB11	0FFB68	PTR	No	Pointers to Load Screen Character Sprites	6/24/2002
0FFB69			No		6/24/2002
0FFE00	0FFEFF	TXT	No	"Blitz Descriptions (8 items, variable length)"	7/16/2002
0FFF00	0FFFFF	TXT	No	"SwordTech Descriptions (8 items, variable length)"	7/16/2002
100000			No		6/24/2002
100080	10009F	DATA	No	Dance stuff (4 bytes each) (Each byte represents magical effect?)	6/24/2002
1000A0			No		4/22/2003
1000AE	100146	TXT	No	"Short Esper Bonus Descriptions (17 elements, 9 characters each)"	7/16/2002
100147	10019D	---	No	UNUSED SPACE (87 bytes)	6/24/2002
10019E	1001AD	PTR	No	Pointers to Blitz Descriptions (+0FFE00)	7/16/2002
1001AE	1001BD	PTR	No	Pointers to SwordTech Descriptions (+0FFF00)	7/16/2002
1001BE	1001FF	---	No	UNUSED SPACE (66 bytes)	6/24/2002
100200	1081B1	ANI	No	Graphic Animation (variable length)	6/24/2002
1081B2	108FB1	DATA	No	Synched Battle Animation and Sound Events Table (14 byte data)	6/24/2002
109A00	109A73	PTR	No	Pointers to Battle Event Scripts (+100200) (58 elements)	7/16/2002
109A74			No		6/24/2002
10D200	10D3FF	PTR	No	Pointers to Battle Dialogue (Bank 1) (+100200)	7/16/2002
10D400	10FEFF	TXT	No	"Battle Dialogue (Bank 1) (256 items, variable length)"	7/16/2002
10FF00			No		6/24/2002
11ECD8	11F1FF	PTR	No	Pointers to Graphic Animation (+100200) (May end sooner)	6/24/2002
11F200	11F99F	TXT	No	"Battle Messages (256 items, variable length)"	7/16/2002
11F9A0	11FB9F	PTR	No	Pointers to Battle Messages (+110200)	7/16/2002
11FBA0	11FBAA	---	No	UNUSED SPACE (11 bytes)	6/24/2002
11FBAB	11FBB2	DATA	No	Backgrounds used by each dance (1 byte each)	6/24/2002
11FBB3	11FBCF	???	No	Leftover garbage for Dance backgrounds?	6/24/2002
11FBD0	11FBFF	---	No	UNUSED SPACE (48 bytes)	6/24/2002
11FC00	1201FF	PTR	No	"Pointers into Event Code, Unknown purpose (+0A0200)"	8/6/2003
120200	1261FF	???	No	Unknown 2 byte Data (Pointers to Palettes?)	6/24/2002
126200	1270FF	PAL	No	Palettes (120 palettes)	3/17/2003
127100	12716F	TXT	No	"Weapon/Armor Types (16 items, 7 bytes each)"	7/16/2002
127170	1271FF	---	No	UNUSED SPACE (144 bytes)	6/24/2002
127200	12797F	DATA	No	"Monster Visual Specifications (384 elements, 5 bytes each)"	7/16/2002
127980	127A1F	DATA	No	Esper Visual Specs (5 bytes each?)	5/21/2003
127A20	12AA1F	PAL	No	"Monster Palettes (2 palettes per monster, 768 palettes, 8 colors each)"	6/24/2002
12AA20	12AA21	PTR	No	Pointer to 8-High Monster Composition Data	6/24/2002
12AA22	12AA23	PTR	No	Pointer to 16-High Monster Composition Data	6/24/2002
12AA24	12AE23	DATA	No	"Monster 8-High Composition Data (128 elements, 8 bytes each)"	7/16/2002
12AE24	12B423	DATA	No	"Monster 16-High Composition Data, Espers towards end (48 elements, 32 bytes each)"	5/21/2003
12B424	12B4FF	---	No	UNUSED SPACE (220 bytes)	6/24/2002
12B500	12C1FF	TXT	No	"Item Names (256 items, 13 bytes each)"	8/28/2002
12C200			No		6/24/2002
12E200	12ED43	GFX	Yes	"Battle tiles like numerals, miss logo, mute status.."	1/9/2003
12ED44	12EDFF	---	No	UNUSED SPACE (188 bytes)	6/24/2002
12EE00	12EEFF	PAL	No	"World of Balance Palettes (8 palettes, 16 colors each)"	6/24/2002
12EF00	12EFFF	PAL	No	"World of Ruin Palettes (8 palettes, 16 colors each)"	6/24/2002
12F000	12F01F	PAL	No	Setzer's Airship Palette (16 colors)	6/24/2002
12F020	12F03F	PAL	No	Chocobo Palette (16 colors)	6/24/2002
12F040	12F0FF	PAL	No	More Palettes	6/24/2002
12F100	12F11F	PAL	No	Darryl's Airship Palette (16 colors)	6/24/2002
12F120	12F1FF	PAL	No	More Palettes	6/24/2002
12F200	1301FF	GFX	No	Slot Command graphics	6/24/2002
130200			No		6/24/2002
14CB98	14CBFF	---	No	UNUSED SPACE (104 bytes)	9/25/2002
14CC00	14D15A	CODE	No	Unknown routines	9/25/2002
14D15B	14D1FF	---	No	UNUSED SPACE (165 bytes)	9/25/2002
14D200			No		9/25/2002
14F806	1501FF	---	No	UNUSED SPACE (2554 bytes)	6/24/2002
150200	16F31F	GFX	No	Character Sprite Graphics (4bp)	6/24/2002
16F320	1851FF	GFX	No	Townsperson and Other Sprite Graphics (4bp)	9/17/2002
185200	186FFF	DATA	No	"Item Data (256 items, 30 bytes each)"	8/28/2002
187000	187127	DATA	No	"Esper Data (27 items, 11 bytes each)"	9/11/2002
187128	1871FF	---	No	UNUSED SPACE (128 bytes)	6/24/2002
187200	18CB9F	GFX	No	"Relates to attacks, spells, Espers?, desperado attacks sprites"	6/24/2002
18CBA0	18D09F	TXT	No	"Spell Descriptions (64 items, variable length)"	7/16/2002
18D0A0	18D17F	TXT	No	"Battle Command Names (32 items, 7 bytes each)"	7/16/2002
18D180	18D1FF	PTR	No	Pointers to Spell Descriptions (+18CBA0)	7/16/2002
18D200	18DCF1	GFX	Yes	"Airship bombarding enemies tiles (slot command), big ball of fire?"	6/24/2002
18DCF2	18DED1	???	Yes	"Unknown, likely to be compressed data"	8/27/2002
18DED2	18DEFF	---	No	UNUSED SPACE (46 bytes)	8/27/2002
18DF00	18E1B7	???	No	"Unknown 2 byte data, possibly pointers"	8/27/2002
18E1B8	18E7BE	???	Yes	"Unknown compressed data, probably a graphic"	8/27/2002
18E7BF	18E8B9	???	Yes	"Unknown, possibly compressed data"	8/27/2002
18E8BA	18E9B0	???	Yes	"Unknown, possibly compressed data"	8/27/2002
18E9B1	18E9FF	---	No	UNUSED SPACE (79 bytes)	8/27/2002
18EA00	18EA07	PAL	No	Palette: 4 colours for menu cursor	6/24/2002
18EA08	18EA9F	PAL	No	Unknown 4 color palettes	8/27/2002
18EAA0			No		8/27/2002
18EB17	18EB32	PTR	No	"Pointers to Unknown Data (+180000, starts at 18EB45)"	9/17/2002
18EB33	18EB44	PTR	No	"Pointers to Unknown Data (+180000, starts at 18EC41)"	9/17/2002
18EB45	18EC40	???	No	Unknown 18 byte data	9/17/2002
18EC41	18EC5B	???	No	Unknown 3 byte data	9/17/2002
18EC5C			No		9/17/2002
18F047	18F1FF	---	No	UNUSED SPACE (440 bytes)	8/27/2002
18F200	195071	GFX	Yes	"Intro fonts, intro fire and storm gfx, FF3us logo/splash screen"	8/28/2002
195072	195095	---	No	UNUSED SPACE (36 bytes)	8/28/2002
195096	19588B	GFX	Yes	???	8/28/2002
19588C	19588E	---	No	UNUSED SPACE (3 bytes)	8/28/2002
19588F	199C50	GFX	Yes	"End CGI: airship over sea, big propelers, birds, data??? big airship from behind, others"	8/28/2002
199C51	199F4A	---	No	UNUSED SPACE (762 bytes)	8/28/2002
199F4B	19A6E3	GFX	Yes	End CGI: skull and coin	8/28/2002
19A6E4	19A6E4	---	No	UNUSED SPACE (1 byte)	8/28/2002
19A6E5	19A768	GFX	Yes	?? (follows mini moogle bank)	8/28/2002
19A769	19A9FF	---	No	UNUSED SPACE (663 bytes)	6/24/2002
19AA00	19CE4B	DATA	Yes	Location Tile Properties	7/16/2002
19CE4C	19CF0F	---	No	UNUSED SPACE (196 bytes)	6/24/2002
19CF10	19CF65	PTR	No	Pointers to Location Tile Properties (42 items) (+19AA00)	7/16/2002
19CF66	19CF8F	---	No	UNUSED SPACE (42 bytes)	6/24/2002
19CF90	19D3AF	PTR	No	Pointers to Location Map Data (351 items) (+19D3B0)	7/16/2002
19D3B0	1E01FF	MAP	Yes	Location Map Data	7/16/2002
1E0200	1FB5D3	MAP	Yes	Location Tile Assembly	8/1/2003
1FB5D4	1FB5FF	---	No	UNUSED SPACE (44 bytes)	6/24/2002
1FB600	1FB7FF	DATA	No	"Ability Points earned after each battle (1 byte each, corresponds to monster formations)"	6/24/2002
1FB800	1FFBFF	DATA	No	Colosseum Battle Data (4 bytes each)	6/24/2002
1FBC00	1FBCE3	PTR	No	Pointers to Location Tile Assembly (+1E0200) (75 items)	8/1/2003
1FBCE4	1FBCFF	---	No	UNUSED SPACE (28 bytes)	6/24/2002
1FBD00	1FC101	PTR	No	Pointers to Entrance Triggers (+1FBD00)	7/16/2002
1FC102	1FDBFF	TRG	No	Entrance Triggers (6 bytes each)	6/24/2002
1FDC00	1FDCF5	PTR	No	Pointers to Location Tile Graphics (+1FDD00) (82 items)	7/28/2003
1FDCF6	1FDCFF	---	No	UNUSED SPACE (10 bytes)	6/24/2002
1FDD00	25F5FF	GFX	No	Location Tile Graphics (3122 Tiles)	7/28/2003
25F600			No		6/24/2002
26001E	2600C5	???	No	Unknown - Pattern: Ax 00 (84 sets)	10/8/2002
2600C6	2601FF	---	No	UNUSED SPACE (314 bytes)	6/24/2002
260200	2681FF	GFX	No	"Animated Location graphics (16 sets, 0x0800 bytes each)"	8/5/2003
268200	2685FF	PAL	No	Map Character and Townperson Sprite Palettes (16 colors each)	6/24/2002
268600	268691	PTR	No	Pointers to Location Names (+0EF300) (73 addresses)	4/21/2003
268692	26897F	---	No	UNUSED SPACE (750 bytes)	6/24/2002
268980	26CF3C	MAP	Yes	Location Layer 3 related data	8/6/2003
26CF3D	26CF5F	---	No	UNUSED SPACE (35 bytes)	6/24/2002
26CF60	26CF9F	PTR	No	Pointer to Location Layer 3 related data (+268980) (19 pointers)	8/6/2003
26CFA0	26CFBF	PTR	No	"Pointer to Location Layer 3 Animated Tiles (+26CFC0) (7 pointers, 6 valid)"	8/6/2003
26CFC0	26F397	GFX	Yes	Location Layer 3 Animated Tiles	8/6/2003
26F398	26F3FF	---	No	UNUSED SPACE (104 bytes)	6/24/2002
26F400	26F63F	PAL	No	Palettes	6/24/2002
26F640	26F68F	---	No	UNUSED SPACE (80 bytes)	6/24/2002
26F690	26F69F	DATA	No	Blitz and SwdTech skills learned by level (8 bytes each)	9/9/2002
26F6A0	26F701	DATA	No	HP modification constants by level (98 elements)	9/9/2002
26F702	26F763	DATA	No	MP modification constants by level (98 elements)	9/9/2002
26F764	26F766	DATA	No	Startup Lores (3 bytes)	10/10/2002
26F767	26F8E0	TXT	No	"Magic Spell Names (54 items, 7 bytes each)"	9/9/2002
26F8E1	26F9B8	TXT	No	"Esper Names (27 items, 8 bytes each)"	9/11/2002
26F9B9	26F9EA	TXT	No	"Skean Attack Names (4 items, 10 bytes each)"	9/9/2002
26F9EB	26FA30	TXT	No	"SwdTech Names (8 items, 10 bytes each, blank, not used)"	9/16/2002
26FA31	26FA80	TXT	No	"Blitz Names (8 items, 10 bytes each)"	7/16/2002
26FA81	26FB70	TXT	No	"Mog's Dance Attacks (24 items, 10 bytes each)"	7/16/2002
26FB71	26FBAC	TXT	No	"Setzer's Slot Attacks (6 items, 10 bytes each)"	7/16/2002
26FBAD	26FBFC	TXT	No	"Magitek Armor Attacks (8 items, 10 bytes each)"	7/16/2002
26FBFD	26FCEC	TXT	No	"Lore Names (24 items, 10 bytes each)"	7/16/2002
26FCED	26FFEE	TXT	No	"Enemy Attacks (77 items, 10 bytes each)"	7/16/2002
26FFEF	270066	TXT	No	"Desperation Attacks (12 items, 10 bytes each)"	7/16/2002
270067	27008E	TXT	No	"Miscellaneous Attacks (Lagomorph, Interceptor, etc.) (4 items, 10 bytes each)"	7/16/2002
27008F	27019C	TXT	No	"Esper Attacks (27 items, 10 bytes each)"	7/16/2002
27019D	2701FC	TXT	No	"Mog's Dance Names (8 items, 12 bytes each)"	7/16/2002
2701FD	2701FF	---	No	UNUSED SPACE (3 bytes)	6/24/2002
270200	27034F	DATA	No	"Battle Background graphic/data bank selection and palette (3 bytes Graphic Packet, 2 bytes Tile Assembly, 1 byte Palettes),  56 Total"	3/19/2003
270350	27184F	PAL	No	"Battle Background Palettes (168 Palettes, 16 colors each)"	7/16/2002
271850	271A47	PTR	No	"Pointers to Battle Backgrounds graphics (168 elements, 75 used)"	7/16/2002
271A48	271B27	PTR	No	Pointers to Battle Background tile assembly (relative to 270200)	7/16/2002
271B28	27ABE6	DATA	Yes	"Battle Background tile assembly (32x19 tiles (except Ghost Train), 2 bytes per tile)"	7/16/2002
27ABE7	2964FF	GFX	Yes	Battle Backgrounds Graphic Packets (48 packs) + 64 wasted bytes	3/19/2003
296500	2971FF	GFX	No	"The End logo, some other stuff"	6/24/2002
297200	2CE3FF	GFX	No	Monster Graphics	6/24/2002
2CE400	2CE5BF	---	No	UNUSED SPACE (448 bytes)	6/24/2002
2CE5C0	2CE5FF	DATA	No	"Natural magic table: spell then level: 16 for Terra, then 16 for Celes"	9/9/2002
2CE600	2CE9FF	DATA	No	"Weapon Graphics and Sounds (8 bytes) (Odd place for data to end, in middle of item list)"	6/24/2002
2CEA00			No		6/24/2002
2D0200	2D1DFF	GFX	No	"Menu Window Graphics (8 Screens, 896 bytes each, 28 chunks)"	6/24/2002
2D1E00	2D1EFF	PAL	No	Menu Window Palettes (16 colors each)	6/24/2002
2D1F00	2D5A5F	GFX	No	Character Portraits (19 40x40 Portraits)	6/24/2002
2D5A60	2D5CBF	PAL	No	Menu Portrait Palettes (16 colors each)	6/24/2002
2D5CC0	2D64C0	GFX	No	"Cursor, arrows, coliseum's VS, status logos, some are assembled as 16x16"	6/24/2002
2D64C0	2D64C7	PAL	No	Battle Standard (White) Text Palette (4 colors)	6/24/2002
2D64C8	2D64CF	PAL	No	Battle Disabled (Grey) Text Palette (4 colors)	6/24/2002
2D64D0	2D64D7	PAL	No	Battle Active (Yellow) Text Palette (4 colors)	6/24/2002
2D64D8	2D64DF	PAL	No	Battle Blue Text Palette (4 colors)	6/24/2002
2D64E0	2D64E7	PAL	No	Empty Palette (4 colors)	6/24/2002
2D64E8	2D64EF	PAL	No	Battle Guage (Grey) Text Palette (4 colors)	6/24/2002
2D64F0	2D64F7	PAL	No	Battle Green Text Palette (4 colors)	6/24/2002
2D64F8	2D64FF	PAL	No	Battle Red Text Palette (4 colors)	6/24/2002
2D6500	2D65FF	PAL	No	"Battle/Menu Character Sprite Palettes (8 palettes, 16 colors each)"	6/24/2002
2D6600	2D799F	TXT	No	"Item Descriptions (256 elements, variable length)"	8/28/2002
2D79A0	2D7C6F	TXT	No	"Lore Descriptions (24 elements, variable length)"	7/16/2002
2D7C70	2D7C9F	PTR	No	Pointers to Lore Descriptions (24 elements)	6/24/2002
2D7CA0	2D7E9F	PTR	No	Pointers to Item Descriptions (256 elements) (+2D6600)	8/28/2002
2D7EA0	2D841F	DATA	No	"Character Initial Statistics (64 elements, 22 bytes each)"	9/9/2002
2D8420	2D84F3	DATA	No	Experience Needed for Level Up	9/9/2002
2D84F4	2D8833	???	No	"Unknown 2 byte data, Something to do with Locations?"	8/27/2002
2D8834	2D8DC9	???	No	"Unknown 5 byte data, Something to do with Locations?"	4/15/2003
2D8DCA	2D905A	---	No	UNUSED SPACE (657 bytes)	6/24/2002
2D905B			No		6/24/2002
2D909B	2D90FF	---	No	UNUSED SPACE (101 bytes)	6/24/2002
2D9100	2DC67E	MAP	No	"Location Properties (416 elements, 33 bytes each)"	7/16/2002
2DC67F	2DC67F	---	No	UNUSED SPACE (1 byte)	6/24/2002
2DC680	2DF67F	PAL	No	"Location Map Palettes (384 elements, 16 colors each)"	6/24/2002
2DF680	2DFA81	DATA	No	Entrance Triggers - Type 2 (7 bytes each)	8/6/2003
2DFA82			No		6/24/2002
2DFEAA	2DFFFF	---	No	UNUSED SPACE (342 bytes)	6/24/2002
2E0000	2E01CF	TXT	No	Long Esper Bonus Descriptions (variable length)	7/16/2002
2E01D0	2E01FF	PTR	No	"Pointers to Long Esper Bonus Descriptions (24 addresses, 17 valid) (+2E0000)"	6/24/2002
2E0200	2E0BC2	CODE	No	Unknown routines	9/24/2002
2E0BC3			No		9/24/2002
2E1A64	2E1B06	CODE	No	Unknown routines	9/24/2002
2E1B07	2E1B2F	???	No	Unknown data	9/24/2002
2E1B30	2E1B97	CODE	No	Unknown routines	9/24/2002
2E1B98	2E1D99	CODE	No	WOB Tile properties are touched here	9/24/2002
2E1D9A	2E1EB4	CODE	No	Unknown routines	9/24/2002
2E1EB5	2E1EEE	CODE	No	WOB Tile properties are touched here	9/24/2002
2E1EEF	2E1F0D	CODE	No	Unknown routines	9/24/2002
2E1F0E	2E20AC	CODE	No	WOB Tile properties are touched here	9/24/2002
2E20AD	2E23D6	CODE	No	Unknown routines	9/24/2002
2E23D7	2E2407	CODE	No	WOB Tile properties are touched here	9/24/2002
2E2408	2E244D	CODE	No	Unknown routines	9/24/2002
2E244E			No		9/24/2002
2E3568	2E4231	CODE	No	Unknown routines	9/24/2002
2E4232			No		9/24/2002
2E42BE	2E4765	CODE	No	Unknown routines	9/24/2002
2E4766	2E4775	???	No	Unknown data	9/24/2002
2E4776	2E4A41	CODE	No	Unknown routines	9/24/2002
2E4A42	2E4A51	DATA	No	Sprites used for various positions of map character	6/24/2002
2E4A52	2E4AD1	???	No	Unknown data	7/28/2003
2E4AD2	2E4B51	???	No	Unknown data	7/28/2003
2E4B52	2E4C03	???	No	Unknown data	7/28/2003
2E4C04	2E4C8C	CODE	No	Unknown routines	9/24/2002
2E4C8D	2E4D56	CODE	No	Specifically loads pointer to bad compressed data at 2FD097	9/24/2002
2E4D57			No		9/24/2002
2E5911	2E593D	CODE	No	Unknown routines	9/24/2002
2E593E			No		9/24/2002
2E7EFA	2E7F01	???	No	Unknown data	9/24/2002
2E7F02			No		9/24/2002
2E858A	2E8594	DATA	No	Songs to use for Mode 7 stuff	9/24/2002
2E8595	2E96D3	CODE	No	Unknown routines	9/24/2002
2E96D4			No		9/24/2002
2E9AF1	2E9BD0	???	No	Unknown data	9/24/2002
2E9BD1	2E9C04	???	No	Unknown data	9/24/2002
2E9C05	2E9D13	CODE	No	Unknown routines	9/24/2002
2E9D14	2E9F13	MAP	No	World of Balance Tile Properties	6/24/2002
2E9F14	2EA113	MAP	No	World of Ruin Tile Properties	6/24/2002
2EA114	2EB100	CODE	No	Unknown routines	9/25/2002
2EB101	2EB3FF	---	No	UNUSED SPACE (767 bytes)	6/24/2002
2EB400	2EB456	PTR	No	Pointers to mode 7 compressed data	6/24/2002
2EB457	2EB45F	---	No	UNUSED SPACE (9 bytes)	6/24/2002
2EB460	2EB47D	???	No	Unknown data	9/24/2002
2EB47E	2EB48F	---	No	UNUSED SPACE (18 bytes)	6/24/2002
2EB490	2EC494	GFX	Yes	Appears to be some sort of background..  Clouds or something	6/24/2002
2EC495	2EC901	???	Yes	Unknown - Highly organized data	8/27/2002
2EC902	2ED633	GFX	Yes	Setzer's Airship Graphics	6/24/2002
2ED634	2F134E	MAP	Yes	World of Balance Map Data	6/24/2002
2F134F	2F344F	GFX	Yes	World of Balance Tile Graphics	6/24/2002
2F3450	2F4A45	???	Yes	"Unknown Data, decompresses to strange size (not a bitmap)"	6/24/2002
2F4A46	2F4C45	???	Yes	"Unknown Data, decompresses to strange size (not a bitmap)"	6/24/2002
2F4C46	2F6C55	GFX	Yes	World of Ruin Tile Graphics	6/24/2002
2F6C56	2F9F16	MAP	Yes	World of Ruin Map Data	6/24/2002
2F9F17	2FB830	MAP	Yes	Serpent Trench Map Data	6/24/2002
2FB831	2FC823	GFX	Yes	Serpent Trench tiles	8/28/2002
2FC824	2FD076	GFX	Yes	Dismounting Chocobo graphics	6/24/2002
2FD077	2FD096	???	Yes	Location specified in pointer table (has 0000 for compressed length)	8/27/2002
2FD097	2FD0B6	???	Yes	Location specified in pointer table (has 3800 for compressed length)	8/27/2002
2FD0B7	2FD1B8	???	Yes	Unknown (probably data)	6/24/2002
2FD1B9	2FDE4B	GFX	Yes	"Terra (morphed), a boat, smoke, Figaro Castle, Terra twinkle, Dust clouds, and splash"	6/24/2002
2FDE4C	2FE69A	GFX	Yes	Riding Chocobo graphics	6/24/2002
2FE69B	2FEAB2	MAP	Yes	World of Balance Miniature Map	6/24/2002
2FEAB3	2FEF25	MAP	Yes	World of Ruin Miniature Map	6/24/2002
2FEF26	2FFCC7	GFX	Yes	Daryl's Airship Graphics	6/24/2002
2FFCC8	2FFDC7	???	Yes	Location specified in pointer table (has 2926 for compressed length)	8/27/2002
2FFDC8	3000F0	---	No	UNUSED SPACE (809 bytes)	6/24/2002
3000F1	30014A	???	No	Unknown data	8/27/2002
30014B	3001A4	???	No	Unknown data	8/27/2002
3001A5	3001FE	???	No	Unknown data	8/27/2002
3001FF	3001FF	EOF	No	End of File	6/25/2002
